,Actividad,Ciudad,Departamento,Direccion,Link,Nombre_Empresa,Tema_Busqueda,telefono
182,Comercio al por mayor de productos alimenticios,CAUCASIA,ANTIOQUIA,CARRERA 12 27 58,http://empresite.eleconomistaamerica.co/GRUPO-INVERSORES-CAUCA-SAS.html,GRUPO INVERSORES DEL CAUCA S A S,INVERSORES-FOTOVOLTAICA,3145690128
183,Cria de ganado bovino y bufalino,MEDELLIN,ANTIOQUIA,CALLE 21 A 59 11 INT301,http://empresite.eleconomistaamerica.co/GRUPO-INVERSORES-ALFA-SAS-ANTIOQUIA.html,GRUPO DE INVERSORES ALFA S A S,INVERSORES-FOTOVOLTAICA,3117063600
184,Actividades de otras asociaciones n c p,SABANALARGA,ANTIOQUIA,,http://empresite.eleconomistaamerica.co/ASOCIACION-PERSONAS-DISCAPACIDAD-DEJANDO-HUELLAS.html,ASOCIACION DE PERSONAS CON DISCAPACIDAD DEJANDO HUELLAS,MEDICION-DE-HUELLA-DE-CARBONO,
185,Otras actividades de atencion de la salud humana,MEDELLIN,ANTIOQUIA,CARRERA 48 19 A 40 1306 13,http://empresite.eleconomistaamerica.co/UNIDAD-MEDICINA-REPRODUCTIVA-DEJANDO-HUELLA-FERTILIDAD-SA.html,UNIDAD DE MEDICINA REPRODUCTIVA DEJANDO HUELLA FERTILIDAD S A,MEDICION-DE-HUELLA-DE-CARBONO,(4)4449112
186,Actividades de otras asociaciones n c p,MEDELLIN,ANTIOQUIA,CALLE 58 59108 APTO 1707,http://empresite.eleconomistaamerica.co/CORPORACION-HABITAR-ES-DEJAR-HUELLA.html,CORPORACION POIESIS,MEDICION-DE-HUELLA-DE-CARBONO,(4)4516743
187,Actividades de otras asociaciones n c p,MEDELLIN,ANTIOQUIA,CARRERA 10 52 1016,http://empresite.eleconomistaamerica.co/CLUB-VIDA-DEJANDO-HUELLAS.html,CLUB DE VIDA DEJANDO HUELLAS,MEDICION-DE-HUELLA-DE-CARBONO,(4)2696744
188,Actividades de otras asociaciones n c p,MEDELLIN,ANTIOQUIA,CALLE 48 EE 99 DD APTO 154,http://empresite.eleconomistaamerica.co/CORPORACION-TEJIENDO-SUENOS-DEJANDO-HUELLAS.html,CORPORACION TEJIENDO SUENOS Y DEJANDO HUELLAS,MEDICION-DE-HUELLA-DE-CARBONO,3136978337
189,Actividades de otras asociaciones n c p,CARACOLI,ANTIOQUIA,CARRERA 20 22 05,http://empresite.eleconomistaamerica.co/ASOCIACION-DEJANDO-HUELLA-CARACOLI.html,ASOCIACION DEJANDO HUELLA EN CARACOLI,MEDICION-DE-HUELLA-DE-CARBONO,(4)8336026
190,Actividades de otras asociaciones n c p,PUERTO TRIUNFO,ANTIOQUIA,CARRERA 12 17 D 32 CORR DORADAL,http://empresite.eleconomistaamerica.co/ASOCIACION-PERSONAS-DISCAPACIDAD-DEJANDO-HUELLA-TU-C.html,ASOCIACION DE PERSONAS CON DISCAPACIDAD DEJANDO HUELLA EN TU C,MEDICION-DE-HUELLA-DE-CARBONO,3108211201
191,Actividades de otras asociaciones n c p,RIONEGRO,ANTIOQUIA,VEREDA LA PLAYA,http://empresite.eleconomistaamerica.co/FUNDACION-DEJANDO-HUELLA-ORIENTE.html,FUNDACION DEJANDO HUELLA EN EL ORIENTE,MEDICION-DE-HUELLA-DE-CARBONO,(4)5303003
192,Actividades de otras asociaciones n c p,YOLOMBO,ANTIOQUIA,CALLE 19 14 PAR PRINCIPAL,http://empresite.eleconomistaamerica.co/ASOCIACION-DEFENSORA-PROTECTORA-ANIMALES-HUELLAS-RESCATE.html,ASOCIACION DEFENSORA Y PROTECTORA DE ANIMALES HUELLAS AL RESCATE,MEDICION-DE-HUELLA-DE-CARBONO,3046387264
193,Actividades de otras asociaciones n c p,GUARNE,ANTIOQUIA,VEREDA PUEBLITO,http://empresite.eleconomistaamerica.co/CORPORACION-DEJANDO-HUELLA.html,CORPORACION DEJANDO HUELLA,MEDICION-DE-HUELLA-DE-CARBONO,3113415042
194,Actividades de otras asociaciones n c p,MEDELLIN,ANTIOQUIA,CALLE 80 C 92 50,http://empresite.eleconomistaamerica.co/ASOCIACION-COMITE-CENTRAL-DEJANDO-HUELLA.html,ASOCIACION COMITE CENTRAL DEJANDO HUELLA,MEDICION-DE-HUELLA-DE-CARBONO,(4)4421935
195,Otras actividades de servicio de apoyo a las empresas n c p,APARTADO,ANTIOQUIA,CALLE 95 103 A 36,http://empresite.eleconomistaamerica.co/INTELIGENTE-VIAL-SAS.html,EL INTELIGENTE VIAL S A S,MEDICION-INTELIGENTE,(4)8289974
196,Mantenimiento y reparacion especializado de equipo electrico,MEDELLIN,ANTIOQUIA,CARRERA 68 80 27,http://empresite.eleconomistaamerica.co/MEDICIONES-CALIDAD-SAS.html,MEDICIONES CON CALIDAD S A S,MEDICION-INTELIGENTE,(4)5838211
197,Mantenimiento y reparacion especializado de maquinaria y equipo,BELLO,ANTIOQUIA,AVENIDA 37 55 26 INT 11,http://empresite.eleconomistaamerica.co/MEDICIONES-INDUSTRIALES-SAS.html,MEDICIONES INDUSTRIALES S A S,MEDICION-INTELIGENTE,(4)4531934
198,Comercio al por mayor no especializado,LA ESTRELLA,ANTIOQUIA,CARRERA 52 D 75AB SUR 80 IN 130,http://empresite.eleconomistaamerica.co/MEDICIONES-ELECTRICAS-SAS.html,MEDICIONES ELECTRICAS S A S,MEDICION-INTELIGENTE,(4)3385083
199,Otras actividades de servicios personales n c p,MEDELLIN,ANTIOQUIA,TRANSVERSAL 39 72 113 INT 301,http://empresite.eleconomistaamerica.co/MEDICIONES-GEOGRAFICAS-SAS.html,MEDICIONES GEOGRAFICAS S A S,MEDICION-INTELIGENTE,(4)4136003
200,Actividades de arquitectura e ingenieria y otras actividades conexas de consultoria tecnica,MEDELLIN,ANTIOQUIA,TRANSVERSAL 32 D 74 D 40,http://empresite.eleconomistaamerica.co/MEDICIONES-INGENIERIA-SAS.html,MEDICIONES DE INGENIERIA S A S,MEDICION-INTELIGENTE,(4)4125716
201,Comercio al por mayor de maquinaria y equipo agropecuarios,MEDELLIN,ANTIOQUIA,CALLE 11 C S 48 B 06,http://empresite.eleconomistaamerica.co/MEDICION-CONTROL-LTDA.html,MEDICION Y CONTROL LTDA,MEDICION-INTELIGENTE,(4)3115737
202,Alquiler y arrendamiento de otros tipos de maquinaria equipo y bienes tangibles n c p,MEDELLIN,ANTIOQUIA,CARRERA 30 17 SUR 09 APT 5,http://empresite.eleconomistaamerica.co/MEDICIONES-EQUIPOS-SAS.html,MEDICIONES Y EQUIPOS S A S,MEDICION-INTELIGENTE,(4)5814997
203,Otras actividades profesionales cientificas y tecnicas n c p,MEDELLIN,ANTIOQUIA,CARRERA 81 44 B 37 PISO 1,http://empresite.eleconomistaamerica.co/MEDICION-SATELITAL-SAS.html,MEDICION SATELITAL S A S,MEDICION-INTELIGENTE,(4)4142244
204,Instalaciones electricas,MEDELLIN,ANTIOQUIA,CARRERA 74 43 31 APTO 806,http://empresite.eleconomistaamerica.co/MEDICION-SERVICIOS-ENERGIA-SAS.html,MEDICION Y SERVICIOS DE ENERGIA S A S,MEDICION-INTELIGENTE,(4)5629754
205,Comercio al por menor de tapices alfombras y cubrimientos para paredes y pisos en establecimientos especializados,MEDELLIN,ANTIOQUIA,CARRERA 32 2 SUR 129,http://empresite.eleconomistaamerica.co/GRUPO-INVERSIONISTA-JACZ-SAS.html,GRUPO INVERSIONISTA JACZ S A S,MEDICION-INTELIGENTE,(4)2663989
206,Comercio al por mayor de otros tipos de maquinaria y equipo n c p,MEDELLIN,ANTIOQUIA,TRANSVERSAL 4 A 75 D 98,http://empresite.eleconomistaamerica.co/SENSORES-EQUIPOS-SAS.html,SENSORES Y EQUIPOS S A S,MEDICION-INTELIGENTE,(4)2568301
207,Construccion de edificios residenciales,LA UNION,ANTIOQUIA,CALLE 14 8 60,http://empresite.eleconomistaamerica.co/INGENIERIA-MEDICIONES-SERVICIOS-SAS.html,INGENIERIA MEDICIONES Y SERVICIOS S A S,MEDICION-INTELIGENTE,3216313954
208,Comercio al por menor de otros productos nuevos en establecimientos especializados,ENVIGADO,ANTIOQUIA,CARRERA 46 39 A SUR 69,http://empresite.eleconomistaamerica.co/INSTRUMENTACION-MEDICION-CONTROL-SAS.html,INSTRUMENTACION MEDICION Y CONTROL S A S,MEDICION-INTELIGENTE,(4)3229116
209,Otras actividades profesionales cientificas y tecnicas n c p,MEDELLIN,ANTIOQUIA,CARRERA 47 20 SUR 108,http://empresite.eleconomistaamerica.co/PROSPECTIVA-GESTION-MEDICION-SAS.html,PROSPECTIVA GESTION Y MEDICION S A S,MEDICION-INTELIGENTE,3184817622
210,Actividades de arquitectura e ingenieria y otras actividades conexas de consultoria tecnica,MEDELLIN,ANTIOQUIA,,http://empresite.eleconomistaamerica.co/MCC-MEDICIONES-CONSTRUCCIONES-CIVILES-CIA-LTDA.html,M C C MEDICIONES Y CONSTRUCCIONES CIVILES Y CIA LTDA,MEDICION-INTELIGENTE,
211,Comercio al por menor de electrodomesticos y gasodomesticos de uso domestico muebles y equipos de iluminacion,MEDELLIN,ANTIOQUIA,CARRERA 76 53 90 APARTAMEN,http://empresite.eleconomistaamerica.co/DIU-ESPACIOS-INTELIGENTES-SAS.html,DIU ESPACIOS INTELIGENTES S A S,MEDICION-INTELIGENTE,3116768625
212,Otras actividades especializadas para la construccion de edificios y obras de ingenieria civil,MEDELLIN,ANTIOQUIA,CALLE 28 84 195 INTERIOR,http://empresite.eleconomistaamerica.co/DYJ-CONSTRUCCION-INTELIGENTE-SAS.html,DYJ CONSTRUCCION INTELIGENTE S A S,MEDICION-INTELIGENTE,3113349847
213,Actividades de servicios de sistemas de seguridad,MEDELLIN,ANTIOQUIA,CALLE 20 A 77 15 INT 911,http://empresite.eleconomistaamerica.co/SOLUCION-PROYECTOS-INTELIGENTES-SAS.html,SOLUCION DE PROYECTOS INTELIGENTES S A S,MEDICION-INTELIGENTE,3217010212
214,Alquiler y arrendamiento de otros tipos de maquinaria equipo y bienes tangibles n c p,SABANETA,ANTIOQUIA,CALLE 51 SUR 48 57 OF 7191,http://empresite.eleconomistaamerica.co/CREACIONES-INTELIGENTES-SAS.html,CREACIONES INTELIGENTES S A S,MEDICION-INTELIGENTE,3002256910
215,Comercio al por mayor de equipo partes y piezas electronicos y de telecomunicaciones,MEDELLIN,ANTIOQUIA,CARRERA 78 A 30 03 PISO 2,http://empresite.eleconomistaamerica.co/ALARMAS-SISTEMAS-INTELIGENTES-ALSYS-SAS.html,ALARMAS Y SISTEMAS INTELIGENTES ALSYS S A S,MEDICION-INTELIGENTE,(4)2567161
216,Actividades de otras asociaciones n c p,MEDELLIN,ANTIOQUIA,TRANSVERSAL 49 SU  61 B 3 APT,http://empresite.eleconomistaamerica.co/ASOCIACION-MODA-INTELIGENTE.html,ASOCIACION MODA INTELIGENTE,MEDICION-INTELIGENTE,(4)3374711
217,Fabricacion de productos metalicos para uso estructural,MEDELLIN,ANTIOQUIA,CARRERA 43 A 10 47 OF 114,http://empresite.eleconomistaamerica.co/COCINAS-INTELIGENTES-SAS.html,COCINAS INTELIGENTES S A S,MEDICION-INTELIGENTE,(4)2661812
218,Expendio a la mesa de comidas preparadas,MEDELLIN,ANTIOQUIA,CARRERA 25 3 45 LOCAL 117,http://empresite.eleconomistaamerica.co/NUTRICION-INTELIGENTE-SAS.html,NUTRICION INTELIGENTE S A S,MEDICION-INTELIGENTE,3108226535
219,Actividades de servicios de sistemas de seguridad,MEDELLIN,ANTIOQUIA,CARRERA 81 43 72 LOC 1175,http://empresite.eleconomistaamerica.co/APLICACIONES-INTELIGENTES-RUIZCOM-SAS.html,APLICACIONES INTELIGENTES RUIZCOM S A S,MEDICION-INTELIGENTE,(4)5818444
220,Comercio al por menor de otros productos alimenticios n c p en establecimientos especializados,MEDELLIN,ANTIOQUIA,CARRERA 77 45 C 92,http://empresite.eleconomistaamerica.co/CONSUMIDOR-MERCADO-INTELIGENTE-SAS.html,CONSUMIDOR DE MERCADO INTELIGENTE S A S,MEDICION-INTELIGENTE,(4)4487717
221,Otras actividades de servicio de apoyo a las empresas n c p,MEDELLIN,ANTIOQUIA,CARRERA 64 C 72 58 PISO 3,http://empresite.eleconomistaamerica.co/SISTEMAS-INTELIGENTES-RED-SAS.html,SISTEMAS INTELIGENTES EN RED S A S,MEDICION-INTELIGENTE,(4)3201058
222,Actividades de desarrollo de sistemas informaticos (planificacion analisis diseño programacion pruebas),MEDELLIN,ANTIOQUIA,DIAGONAL 47 A 17 SUR 162 CA 105,http://empresite.eleconomistaamerica.co/INGENIERIA-SISTEMAS-INTELIGENTES-TECNOLOGIA-SAS.html,INGENIERIA SISTEMAS INTELIGENTES Y TECNOLOGIA S A S,MEDICION-INTELIGENTE,(4)3229004
223,Actividades de consultoria informatica y actividades de administracion de instalaciones informaticas,MEDELLIN,ANTIOQUIA,CALLE 18 A SUR 38 350,http://empresite.eleconomistaamerica.co/VIDA-INTELIGENTE-SOCIEDAD-ACCIONES-SIMPLIFICADA.html,VIDA INTELIGENTE SOCIEDAD POR ACCIONES SIMPLIFICADA EN LIQUIDACION,MEDICION-INTELIGENTE,(4)3134953
224,Actividades de impresion,MEDELLIN,ANTIOQUIA,CALLE 47 D 77 AA 67,http://empresite.eleconomistaamerica.co/SISTEMA-INTEGRAL-LECTURA-INTELIGENTE-LTDA.html,SISTEMA INTEGRAL LECTURA INTELIGENTE S A S,MEDICION-INTELIGENTE,(4)3126060
225,Otras instalaciones especializadas,MEDELLIN,ANTIOQUIA,CARRERA 65 D 32 B 28,http://empresite.eleconomistaamerica.co/MONTAJES-INTELIGENTES-SEGURIDAD-LTDA.html,MONTAJES INTELIGENTES DE SEGURIDAD LTDA,MEDICION-INTELIGENTE,(4)3163371
226,Almacenamiento y deposito,RIONEGRO,ANTIOQUIA,VEREDA CHACHAFRUTO ZF,http://empresite.eleconomistaamerica.co/LOGISTICA-INTELIGENTE-SAS.html,LOGISTICA INTELIGENTE SAS,MEDICION-INTELIGENTE,3206839053
227,Actividades de consultoria informatica y actividades de administracion de instalaciones informaticas,MEDELLIN,ANTIOQUIA,CALLE 44 A 70 59 INT 300,http://empresite.eleconomistaamerica.co/ININTEL-INGENIERIA-INTELIGENTE-SAS.html,ININTEL INGENIERIA INTELIGENTE S A S,MEDICION-INTELIGENTE,(4)2307008
228,Edicion de programas de informatica (software),MEDELLIN,ANTIOQUIA,CARRERA 64 C 51 61 B 87,http://empresite.eleconomistaamerica.co/SISTEMAS-INTELIGENTES-EMPRESARIALES-SIEMPRE-SAS.html,SISTEMAS INTELIGENTES EMPRESARIALES SIEMPRE S A S,MEDICION-INTELIGENTE,(4)6067203
229,Actividades inmobiliarias realizadas con bienes propios o arrendados,ENVIGADO,ANTIOQUIA,CALLE 23 SUR 28 46 LC 104,http://empresite.eleconomistaamerica.co/SMART-CONTROL-SOLUCIONES-INTELIGENTES-SOCIEDAD-ACCIONES-SIMPLIFICADAS.html,SMART CONTROL SOLUCIONES INTELIGENTES SOCIEDAD POR ACCIONES SIMPLIFICADAS,MEDICION-INTELIGENTE,(4)3170020
230,Actividades juridicas,MEDELLIN,ANTIOQUIA,CARRERA 65 16 86,http://empresite.eleconomistaamerica.co/ACCIONES-INTELIGENTES-CONSULTORES-EU.html,ACCIONES INTELIGENTES CONSULTORES E U EN LIQUIDACION,MEDICION-INTELIGENTE,(4)2404360
231,Actividades de arquitectura e ingenieria y otras actividades conexas de consultoria tecnica,MEDELLIN,ANTIOQUIA,CARRERA 42 31 84,http://empresite.eleconomistaamerica.co/ARQUITECTURA-INTELIGENTE-LTDA.html,ARQUITECTURA INTELIGENTE LTDA,MEDICION-INTELIGENTE,(4)3776331
232,Actividades de arquitectura e ingenieria y otras actividades conexas de consultoria tecnica,SABANETA,ANTIOQUIA,CALLE 73 SUR 45 35,http://empresite.eleconomistaamerica.co/NAGUARE-INGENIERIA-ELECTRICA-ARQUITECTURA-INTELIGENTE-SAS.html,NAGUARE INGENIERIA ELECTRICA Y ARQUITECTURA INTELIGENTE S A S,MEDICION-INTELIGENTE,(4)5704031
233,Estudios de mercado y realizacion de encuestas de opinion publica,MEDELLIN,ANTIOQUIA,CARRERA 64 B 48 141 OF 102,http://empresite.eleconomistaamerica.co/PROYECTOS-INTELIGENTES-MERCADEO-LTDA.html,PROYECTOS INTELIGENTES DE MERCADEO LTDA,MEDICION-INTELIGENTE,(4)2609127
234,Comercio al por mayor de maquinaria y equipo agropecuarios,ENVIGADO,ANTIOQUIA,CALLE 33 B SUR 44 53,http://empresite.eleconomistaamerica.co/ALTERNATIVAS-INTELIGENTES-SA.html,ALTERNATIVAS INTELIGENTES S A S,MEDICION-INTELIGENTE,(4)2705314
235,Actividades de consultaria de gestion,MEDELLIN,ANTIOQUIA,CARRERA 48 17 B SUR 62,http://empresite.eleconomistaamerica.co/PROYECTOS-INTELIGENTES-LTDA.html,PROYECTOS INTELIGENTES S A S,MEDICION-INTELIGENTE,(4)3526678
236,Actividades de consultoria informatica y actividades de administracion de instalaciones informaticas,MEDELLIN,ANTIOQUIA,,http://empresite.eleconomistaamerica.co/SISTEMAS-INTELIGENTES-BASICOS-LTDA.html,SISTEMAS INTELIGENTES BASICOS LTDA,MEDICION-INTELIGENTE,
237,Otras actividades recreativas y de esparcimiento n c p,MEDELLIN,ANTIOQUIA,CARRERA 73 CIRCULAR 1 23,http://empresite.eleconomistaamerica.co/ENTRETENIMIENTO-INTELIGENTE-SAS.html,ENTRETENIMIENTO INTELIGENTE S A S,MEDICION-INTELIGENTE,3006097770
238,Confección de prendas de vestir,ENVIGADO,ANTIOQUIA,CL 36 SUR 25 114 IN 130,http://empresite.eleconomistaamerica.co/SISTEMAS-INTELIGENTES-PRODUCCION-SAS.html,SISTEMAS INTELIGENTES DE PRODUCCION S A S,MEDICION-INTELIGENTE,(4)3774641
239,Actividades de telecomunicaciones alambricas,MEDELLIN,ANTIOQUIA,,http://empresite.eleconomistaamerica.co/TELEFONIA-INTELIGENTE-SAS.html,TELEFONIA INTELIGENTE S A S,MEDICION-INTELIGENTE,(4)4441455
240,Actividades de desarrollo de sistemas informaticos (planificacion analisis diseño programacion pruebas),MEDELLIN,ANTIOQUIA,CARRERA 65 F 32 A 23 OF 303,http://empresite.eleconomistaamerica.co/INGENIERIA-CONTROL-INTELIGENTE-SAS.html,INGENIERIA DE CONTROL INTELIGENTE S A S,MEDICION-INTELIGENTE,3015482053
241,Comercio al por mayor no especializado,MEDELLIN,ANTIOQUIA,TRANSVERSAL 5 A 45 163 INT 404,http://empresite.eleconomistaamerica.co/SOLUCIONES-INTELIGENTES-REPRESENTANDO-FUTURO-SAS.html,SOLUCIONES INTELIGENTES REPRESENTANDO UN FUTURO S A S,MEDICION-INTELIGENTE,(4)3116080
242,Construccion de otras obras de ingenieria civil,MEDELLIN,ANTIOQUIA,CALLE 78 86 20,http://empresite.eleconomistaamerica.co/EKO-CONSTRUCCIONES-INTELIGENTES-SAS.html,EKO CONSTRUCCIONES INTELIGENTES S A S,MEDICION-INTELIGENTE,3122163793
243,Actividades de arquitectura e ingenieria y otras actividades conexas de consultoria tecnica,MEDELLIN,ANTIOQUIA,TRANSVERSAL 32 D 74 D 69,http://empresite.eleconomistaamerica.co/INGENIERIA-SOLUCIONES-ENERGETICAS-INTELIGENTES-SAS.html,INGENIERIA Y SOLUCIONES ENERGETICAS INTELIGENTES S A S,MEDICION-INTELIGENTE,(4)4482531
244,Publicidad,MEDELLIN,ANTIOQUIA,CALLE 7 83 A 24 143 CON,http://empresite.eleconomistaamerica.co/BIG-BIKER-PRENDAS-INTELIGENTES-SAS.html,BIG BIKER PRENDAS INTELIGENTES S A S,MEDICION-INTELIGENTE,(4)5593633
245,Otras actividades complementarias al transporte,CALDAS,ANTIOQUIA,LUGAR KM 1 VTE CALDAS - PR,http://empresite.eleconomistaamerica.co/LOGISTICA-INTELIGENTE-CALDAS-SAS.html,LOGISTICA INTELIGENTE CALDAS S A S,MEDICION-INTELIGENTE,(4)5629466
246,Comercio al por mayor de productos quimicos basicos cauchos y plasticos en formas primarias y productos quimicos de uso agropecuario,APARTADO,ANTIOQUIA,CALLE 108 111 65 TO 6 AP 222,http://empresite.eleconomistaamerica.co/NUTRICION-VEGETAL-INTELIGENTE-SAS.html,NUTRICION VEGETAL INTELIGENTE S A S,MEDICION-INTELIGENTE,(4)8295651
247,Actividades de desarrollo de sistemas informaticos (planificacion analisis diseño programacion pruebas),MEDELLIN,ANTIOQUIA,CARRERA 37 A 29 72 BLOQUE 1,http://empresite.eleconomistaamerica.co/INGENIERIA-INTELIGENTE-INNOVADORA-SAS.html,INGENIERIA INTELIGENTE E INNOVADORA S A S,MEDICION-INTELIGENTE,3113370217
248,Comercio al por mayor de productos alimenticios,ITAGUI,ANTIOQUIA,CALLE 15 B SUR 53 214 AP 413,http://empresite.eleconomistaamerica.co/AGRICULTURA-INTELIGENTE-SAS.html,AGRICULTURA INTELIGENTE S A S,MEDICION-INTELIGENTE,3146474209
249,Actividades de arquitectura e ingenieria y otras actividades conexas de consultoria tecnica,MEDELLIN,ANTIOQUIA,CALLE 15 C SUR  29 C 155,http://empresite.eleconomistaamerica.co/SOLUCIONES-INTELIGENTES-PARQUEO-SAS.html,SOLUCIONES INTELIGENTES DE PARQUEO SAS,MEDICION-INTELIGENTE,(4)4443529
250,Actividades de arquitectura e ingenieria y otras actividades conexas de consultoria tecnica,MEDELLIN,ANTIOQUIA,CALLE 30 54 A 57 PISO 2,http://empresite.eleconomistaamerica.co/CONSULTA-INTELIGENTE-SAS.html,CONSULTA INTELIGENTE S A S,MEDICION-INTELIGENTE,(4)4442472
251,Actividades de desarrollo de sistemas informaticos (planificacion analisis diseño programacion pruebas),MEDELLIN,ANTIOQUIA,CARRERA 67 B 48 D 76,http://empresite.eleconomistaamerica.co/SMART-DOTS-SISTEMAS-INTELIGENTES-SAS.html,SMART DOTS SISTEMAS INTELIGENTES S A S,MEDICION-INTELIGENTE,(4)2304463
252,Actividades de consultaria de gestion,MEDELLIN,ANTIOQUIA,CARRERA 90 45 86,http://empresite.eleconomistaamerica.co/COMPRAS-INTELIGENTES-SAS.html,COMPRAS INTELIGENTES S A S,MEDICION-INTELIGENTE,3113502830
253,Otras actividades profesionales cientificas y tecnicas n c p,MEDELLIN,ANTIOQUIA,CARRERA 80 C 5 60 APTO 404,http://empresite.eleconomistaamerica.co/GRUPO-PORFIN-FINALIDADES-INTELIGENTES-SAS.html,GRUPO PORFIN FINALIDADES INTELIGENTES S A S,MEDICION-INTELIGENTE,(4)2974561
254,Actividades de consultoria informatica y actividades de administracion de instalaciones informaticas,MEDELLIN,ANTIOQUIA,CARRERA 80 100 F 13,http://empresite.eleconomistaamerica.co/TECNOLOGIA-SOLUCIONES-DIGITALES-INTELIGENTES-SAS.html,TECNOLOGIA Y SOLUCIONES DIGITALES INTELIGENTES S A S,MEDICION-INTELIGENTE,(4)2375373
255,Actividades de desarrollo de sistemas informaticos (planificacion analisis diseño programacion pruebas),MEDELLIN,ANTIOQUIA,CARRERA 67 1 AA 04,http://empresite.eleconomistaamerica.co/CONOCIMIENTO-NEGOCIOS-INTELIGENTES-SAS.html,CONOCIMIENTO Y NEGOCIOS INTELIGENTES S A S,MEDICION-INTELIGENTE,(4)4445669
256,Actividades de apoyo a la agricultura,MEDELLIN,ANTIOQUIA,CALLE 3 SUR  51 A 18,http://empresite.eleconomistaamerica.co/AGROS-AGRICULTURA-INTELIGENTE-SAS.html,AGROS AGRICULTURA INTELIGENTE S A S,MEDICION-INTELIGENTE,3176691457
257,Gestion de instalaciones deportivas,MEDELLIN,ANTIOQUIA,CALLE 5 SUR 25 40 APTO 2202,http://empresite.eleconomistaamerica.co/SE-INTELIGENTE-SAS.html,SE INTELIGENTE S A S,MEDICION-INTELIGENTE,(4)3537678
258,Comercio al por mayor de productos alimenticios,MEDELLIN,ANTIOQUIA,CALLE 19 65 GG 33,http://empresite.eleconomistaamerica.co/ALIMENTOS-INTELIGENTES-SAS.html,ALIMENTOS INTELIGENTES S A S,MEDICION-INTELIGENTE,(4)3513643
259,Actividades de consultaria de gestion,MEDELLIN,ANTIOQUIA,CALLE 36 65 D 35 OF 501,http://empresite.eleconomistaamerica.co/IC-CONTRATACIONES-INTELIGENTES-SAS.html,I C CONTRATACIONES INTELIGENTES S A S,MEDICION-INTELIGENTE,3205278588
260,Actividades de desarrollo de sistemas informaticos (planificacion analisis diseño programacion pruebas),MEDELLIN,ANTIOQUIA,CALLE 38 B 45 C 7,http://empresite.eleconomistaamerica.co/IM-SOLUCIONES-INTELIGENTES-SAS.html,IM SOLUCIONES INTELIGENTES S A S,MEDICION-INTELIGENTE,(4)4480726
261,Comercio al por mayor no especializado,MEDELLIN,ANTIOQUIA,CALLE 29 C 55 41,http://empresite.eleconomistaamerica.co/AMBIENTES-INTELIGENTES-LTDA.html,AMBIENTES INTELIGENTES S A S,MEDICION-INTELIGENTE,(4)4444755
262,Edicion de periodicos revistas y otras publicaciones periodicas,MEDELLIN,ANTIOQUIA,CARRERA 47 57 A 47 ED LOS,http://empresite.eleconomistaamerica.co/BEBES-MUY-INTELIGENTES-LTDA.html,BEBES MUY INTELIGENTES LTDA,MEDICION-INTELIGENTE,(4)2654065
263,Otras actividades de tecnologias de informacion y actividades de servicios informaticos,MEDELLIN,ANTIOQUIA,CARRERA 82 A 32 B 147,http://empresite.eleconomistaamerica.co/SOLUCIONES-INTELIGENTES-LTDA.html,SOLUCIONES INTELIGENTES LTDA,MEDICION-INTELIGENTE,(4)3418604
264,Otras actividades de telecomunicaciones,MEDELLIN,ANTIOQUIA,CALLE 37 63 51,http://empresite.eleconomistaamerica.co/MONITOREO-INTELIGENTE-LTDA.html,MONITOREO INTELIGENTE S A S,MEDICION-INTELIGENTE,(4)4482562
265,Actividades de servicios de sistemas de seguridad,MEDELLIN,ANTIOQUIA,CARRERA 80 C 40 20,http://empresite.eleconomistaamerica.co/SISTEMAS-INTELIGENTES-SEGURIDAD-SAS.html,SISTEMAS INTELIGENTES DE SEGURIDAD S A S,MEDICION-INTELIGENTE,3188333431
266,Publicidad,MEDELLIN,ANTIOQUIA,CALLE 16 41 210 OF 903,http://empresite.eleconomistaamerica.co/MARKETING-INTELIGENTE-SAS.html,MARKETING INTELIGENTE S A S,MEDICION-INTELIGENTE,(4)2666474
267,Instalaciones electricas,RIONEGRO,ANTIOQUIA,VEREDA CUCHILLAS DE SAN JOSE,http://empresite.eleconomistaamerica.co/UPPER-SOLUCIONES-INTELIGENTES-SAS.html,UPPER SOLUCIONES INTELIGENTES S A S,MEDICION-INTELIGENTE,3014175037
268,Otras actividades de limpieza de edificios e instalaciones industriales,MEDELLIN,ANTIOQUIA,CARRERA 43 B 12 63,http://empresite.eleconomistaamerica.co/LIMPIEZA-INTELIGENTE-SAS.html,LIMPIEZA INTELIGENTE S A S,MEDICION-INTELIGENTE,(4)4483634
269,Confeccion de prendas de vestir excepto prendas de piel,MEDELLIN,ANTIOQUIA,CARRERA 79 23 81 3 ER PISO,http://empresite.eleconomistaamerica.co/SHADAI-PRENDAS-INTELIGENTES-SAS.html,SHADAI PRENDAS INTELIGENTES S A S,MEDICION-INTELIGENTE,(4)2387347
270,Actividades de consultaria de gestion,MEDELLIN,ANTIOQUIA,CALLE 32 F 66 B 100,http://empresite.eleconomistaamerica.co/LOGISTICA-INTELIGENTE-SOLUTION-SAS.html,LOGISTICA INTELIGENTE SOLUTION S A S,MEDICION-INTELIGENTE,(4)5819444
