,Actividad,Ciudad,Departamento,Direccion,Link,Nombre_Empresa,Tema_Busqueda,telefono
47,Otras actividades especializadas para la construccion de edificios y obras de ingenieria civil,MEDELLIN,ANTIOQUIA,CALLE 11 SUR 44 51,http://empresite.eleconomistaamerica.co/ENERGIA-ECOLOGICA-SAS.html,ENERGIA ECOLOGICA S A S,ENERGIA-SOLAR,(4)5812277
48,Actividades de administracion empresarial,MEDELLIN,ANTIOQUIA,CARRERA 30 10 C 228 INT 92,http://empresite.eleconomistaamerica.co/ENERGIAS-PACIFICO-SAS.html,ENERGIAS DEL PACIFICO S A S,ENERGIA-SOLAR,(4)3114327
49,Construccion de edificios residenciales,LA CEJA,ANTIOQUIA,CALLE 5 21 B 21,http://empresite.eleconomistaamerica.co/ENERGIA-RENOVABLE-RR-SAS.html,ENERGIA RENOVABLE RR S A S,ENERGIA-SOLAR,3212303033
50,Instalaciones electricas,BELLO,ANTIOQUIA,CARRERA 67 B 56 B 87,http://empresite.eleconomistaamerica.co/ENERGIA-ESTRUCTURADA-SAS.html,ENERGIA ESTRUCTURADA S A S,ENERGIA-SOLAR,(4)5973981
51,Otras actividades de servicios personales n c p,MEDELLIN,ANTIOQUIA,CALLE 9 41 36,http://empresite.eleconomistaamerica.co/ENERGIA-TERRENAL-SPA-SAS.html,ENERGIA TERRENAL SPA S A S,ENERGIA-SOLAR,(4)4484505
52,Otras actividades recreativas y de esparcimiento n c p,MEDELLIN,ANTIOQUIA,CARRERA 45 38 A SUR 29,http://empresite.eleconomistaamerica.co/ENERGIA-RECREATIVA-EU.html,ENERGIA RECREATIVA E U,ENERGIA-SOLAR,(4)3319912
53,Instalaciones electricas,MEDELLIN,ANTIOQUIA,CALLE 34 81 A 112,http://empresite.eleconomistaamerica.co/ENERGIA-MOVIL-COLOMBIA-SAS.html,ENERGIA MOVIL DE COLOMBIA S A S,ENERGIA-SOLAR,(4)4441605
54,Comercio al por menor de electrodomesticos y gasodomesticos de uso domestico muebles y equipos de iluminacion,ENVIGADO,ANTIOQUIA,CARRERA 48 26 SUR 181,http://empresite.eleconomistaamerica.co/ENERGIA-EVOLUCION-SAS.html,ENERGIA EN EVOLUCION S A S,ENERGIA-SOLAR,3507874637
55,Actividades de administracion empresarial,MEDELLIN,ANTIOQUIA,CARRERA 30 10 C 228 OF 929,http://empresite.eleconomistaamerica.co/ENERGIAS-OCCIDENTE-SAS.html,ENERGIAS DE OCCIDENTE S A S,ENERGIA-SOLAR,(4)3114327
56,Comercio al por menor de tapices alfombras y cubrimientos para paredes y pisos en establecimientos especializados,MEDELLIN,ANTIOQUIA,CALLE 10 30 30 LOCAL 315,http://empresite.eleconomistaamerica.co/DISTRIBUIDOR-CORTINERO-CIA-LTDA.html,DISTRIBUIDOR EL CORTINERO S A S,ENERGIA-SOLAR,(4)2660187
57,Fabricacion de sustancias y productos quimicos basicos,MEDELLIN,ANTIOQUIA,CARRERA 43 A 3 SUR 130 PISO,http://empresite.eleconomistaamerica.co/GASES-INDUSTRIALES-COLOMBIA-SA.html,GASES INDUSTRIALES DE COLOMBIA S A,ENERGIA-SOLAR,(4)5400280
58,Comercio al por mayor de otros tipos de maquinaria y equipo n c p,SABANETA,ANTIOQUIA,CALLE 69 SUR 46 145,http://empresite.eleconomistaamerica.co/APS-LIGHTING-SAFETY-PRODUCTS-COLOMBIA-SAS.html,APS LIGHTING Y SAFETY PRODUCTS DE COLOMBIA S A S,ENERGIA-SOLAR,(4)4447275
59,Actividades inmobiliarias realizadas a cambio de una retribucion o por contrata,MEDELLIN,ANTIOQUIA,CARRERA 83 C 17 79,http://empresite.eleconomistaamerica.co/SOLAR-SOLUCIONES-ARQUITECTONICAS-SAS.html,SOLAR SOLUCIONES ARQUITECTONICAS S A S,ENERGIA-SOLAR,(4)4449420
60,Generacion de energia electrica,COPACABANA,ANTIOQUIA,AUTOPISTA NORTE KM 16,http://empresite.eleconomistaamerica.co/SOLAR-NATURAL-SYSTEMS-COLOMBIA-SAS.html,SOLAR NATURAL SYSTEMS COLOMBIA S A S,ENERGIA-SOLAR,3128098603
61,Instalaciones electricas,MEDELLIN,ANTIOQUIA,CARRERA 80 47 46,http://empresite.eleconomistaamerica.co/ENERGIA-COMUNICACIONES-ENERCOM-SAS.html,ENERGIA Y COMUNICACIONES ENERCOM S A S,ENERGIA-SOLAR,(4)5822650
62,Generacion de energia electrica,MEDELLIN,ANTIOQUIA,CALLE 23 C 42 A 75,http://empresite.eleconomistaamerica.co/ENERGIAS-RENOVABLES-ALTERNATIVAS-SAS.html,ENERGIAS RENOVABLES ALTERNATIVAS S A S,ENERGIA-SOLAR,(4)2323982
63,Extraccion de hulla (carbon de piedra),MEDELLIN,ANTIOQUIA,CALLE 29 41 105 OF 1206,http://empresite.eleconomistaamerica.co/ENERGIAS-RECURSOS-SUSTENTABLES-SAS.html,ENERGIAS Y RECURSOS SUSTENTABLES S A S,ENERGIA-SOLAR,(4)4031777
64,Otras actividades especializadas para la construccion de edificios y obras de ingenieria civil,MEDELLIN,ANTIOQUIA,CARRERA 81 B 54 84,http://empresite.eleconomistaamerica.co/ENERGIA-SUMINISTROS-COLOMBIA-ENSUCOL-SAS.html,ENERGIA Y SUMINISTROS DE COLOMBIA ENSUCOL S A S,ENERGIA-SOLAR,(4)4480154
65,Transmision de energia electrica,MEDELLIN,ANTIOQUIA,CARRERA 48 B 10 SUR 164,http://empresite.eleconomistaamerica.co/ENERGIA-ELECTRICA-COSTA-ATLANTICA-SASESP.html,ENERGIA ELECTRICA DE LA COSTA ATLANTICA S A S E S P,ENERGIA-SOLAR,(4)4487477
