Actividad,Ciudad,Departamento,Direccion,Link,Nombre_Empresa,Tema_Busqueda,telefono
Comercio al por menor de prendas de vestir y sus accesorios (incluye articulos de piel) en establecimientos especializados,MEDELLIN,ANTIOQUIA,CARRERA 49 52 170,https://empresite.eleconomistaamerica.co/ROSS-JEANS-SA.html,ROSS JEANS S A,JEANS,(4)2512820
Confeccion de prendas de vestir excepto prendas de piel,DON MATIAS,ANTIOQUIA,CARRERA 30 28 47,https://empresite.eleconomistaamerica.co/CREACIONES-JEANS-GILS-LTDA.html,CREACIONES JEANS GILS LTDA,JEANS,(4)8663045
Confeccion de prendas de vestir excepto prendas de piel,MEDELLIN,ANTIOQUIA,CARRERA 54 48 74 PISO 3,https://empresite.eleconomistaamerica.co/LATIN-JEANS-CLOTHING-SAS.html,LATIN JEANS CLOTHING S  A  S,JEANS,(4)5125498
Confeccion de prendas de vestir excepto prendas de piel,MEDELLIN,ANTIOQUIA,CARRERA 56 B 49 A 29 OFICINA,https://empresite.eleconomistaamerica.co/TRIVASSI-JEANS-SAS.html,TRIVASSI JEANS S A S,JEANS,(4)2513162
Confección de prendas de vestir,ITAGUI,ANTIOQUIA,CL 79 52 D 94 IN 201,https://empresite.eleconomistaamerica.co/CAMEL-JEANS-SAS.html,CAMEL JEANS S A S EN LIQUIDACION,JEANS,(4)3735897
Confeccion de prendas de vestir excepto prendas de piel,MEDELLIN,ANTIOQUIA,CARRERA 81 42 99,https://empresite.eleconomistaamerica.co/STREET-FASHION-JEANS-SA.html,STREET FASHION JEANS S A S,JEANS,(4)3221796
Elaboracion de productos de panaderia,BARBOSA,ANTIOQUIA,CALLE 15 10 17,https://empresite.eleconomistaamerica.co/INVERSIONES-MAS-JEANS-SAS.html,INVERSIONES MAS JEANS S A S,JEANS,3205260862
Comercio al por menor de prendas de vestir y sus accesorios (incluye articulos de piel) en establecimientos especializados,ITAGUI,ANTIOQUIA,CL 78 CR 52 D 42,https://empresite.eleconomistaamerica.co/CONFECCIONES-JRY-JEANS-SAS.html,CONFECCIONES J R Y JEANS S A S EN LIQUIDACION,JEANS,(4)2779200
Confeccion de prendas de vestir excepto prendas de piel,MEDELLIN,ANTIOQUIA,CALLE 50 71 42,https://empresite.eleconomistaamerica.co/CONFECCIONES-WAIT-JEANS-COMPANIA-LTDA.html,CONFECCIONES WAIT JEANS Y COMPANIA LTDA,JEANS,(4)2508522
Confección de prendas de vestir,MEDELLIN,ANTIOQUIA,CA 56 B 49 A 29 BOD 807,https://empresite.eleconomistaamerica.co/AMEN-JEANS-WEAR-SA.html,AMEN JEANS WEAR S A EN LIQUIDACION,JEANS,(4)5112818
Confeccion de prendas de vestir excepto prendas de piel,MEDELLIN,ANTIOQUIA,TRANSVERSAL 49 D 59 07 PISO 2,https://empresite.eleconomistaamerica.co/CONFECCIONES-UTOPIA-JEANS.html,CONFECCIONES UTOPIA JEANS S A,JEANS,(4)2931434
Confeccion de prendas de vestir excepto prendas de piel,ENVIGADO,ANTIOQUIA,,https://empresite.eleconomistaamerica.co/CARPIN-JEANS-EAT.html,CARPIN JEANS E A T,JEANS,(4)3748031
Confeccion de prendas de vestir excepto prendas de piel,DON MATIAS,ANTIOQUIA,CARRERA 29 26 60,https://empresite.eleconomistaamerica.co/CREACIONES-SANTI-JEANS-MSAS.html,CREACIONES SANTI JEANS M S A S,JEANS,(4)8663787
Confeccion de prendas de vestir excepto prendas de piel,MEDELLIN,ANTIOQUIA,CALLE 49 54 46 LC 417,https://empresite.eleconomistaamerica.co/DENIM-BLUE-JEANS-SAS.html,DENIM BLUE JEANS S A S,JEANS,(4)5112312
Confeccion de prendas de vestir excepto prendas de piel,MEDELLIN,ANTIOQUIA,CARRERA 53 48 15 PISO 5 OF,https://empresite.eleconomistaamerica.co/STUDIO-JR-JEANS-SAS.html,STUDIO JR JEANS S A S,JEANS,(4)3667291
Confeccion de prendas de vestir excepto prendas de piel,MEDELLIN,ANTIOQUIA,CALLE 46 60 27 INT 301,https://empresite.eleconomistaamerica.co/RETRO-JEANS-SAS.html,RETRO JEANS SAS,JEANS,(4)5118662
Confeccion de prendas de vestir excepto prendas de piel,MEDELLIN,ANTIOQUIA,CALLE 50 55 94 OFICINA 3,https://empresite.eleconomistaamerica.co/CABANA-S-JEANS-SAS.html,CABANA S JEANS S A S,JEANS,(4)2933982
Confeccion de prendas de vestir excepto prendas de piel,LA ESTRELLA,ANTIOQUIA,CARRERA 53 77 SUR 120,https://empresite.eleconomistaamerica.co/COMERCIALIZADORA-INTERNACIONAL-JEANS-SA.html,COMERCIALIZADORA INTERNACIONAL JEANS S A S,JEANS,(4)3099898
Confeccion de prendas de vestir excepto prendas de piel,ITAGUI,ANTIOQUIA,CARRERA 51 83 06 IN 201,https://empresite.eleconomistaamerica.co/JW-JEANS-SAS.html,JW JEANS S A S,JEANS,(4)5975994
Confeccion de prendas de vestir excepto prendas de piel,MEDELLIN,ANTIOQUIA,CARRERA 73 52 65 APT 905,https://empresite.eleconomistaamerica.co/INVERSIONES-AKITA-JEANS-SAS.html,INVERSIONES AKITA JEANS S A S,JEANS,(4)5045337
Comercio al por mayor no especializado,MEDELLIN,ANTIOQUIA,CARRERA 54 45 A 54 LA TORR,https://empresite.eleconomistaamerica.co/URBAN-HOUSE-JEANS-SAS.html,URBAN HOUSE JEANS SAS,JEANS,(4)5110629
Comercio al por mayor de prendas de vestir,ENVIGADO,ANTIOQUIA,CALLE 35 SUR 43 56,https://empresite.eleconomistaamerica.co/COMERCIALIZADORA-CHIPREE-JEANS-SAS.html,COMERCIALIZADORA CHIPREE JEANS S A S,JEANS,(4)2700130
Confeccion de prendas de vestir excepto prendas de piel,SABANETA,ANTIOQUIA,CALLE 55 SUR 43 A 108 IN 602,https://empresite.eleconomistaamerica.co/PUNTO-G-AMERICAN-JEANS-LTDA.html,PUNTO G AMERICAN JEANS LTDA,JEANS,(4)3015260
Confeccion de prendas de vestir excepto prendas de piel,MEDELLIN,ANTIOQUIA,,https://empresite.eleconomistaamerica.co/MASTER-JEANS-DISENO-INTERNACIONAL-LTDA.html,MASTER JEANS DISENO INTERNACIONAL LTDA,JEANS,
Confeccion de prendas de vestir excepto prendas de piel,MEDELLIN,ANTIOQUIA,,https://empresite.eleconomistaamerica.co/METRO-JEANS-LTDA.html,METRO JEANS LTDA,JEANS,(4)5111167
Confeccion de prendas de vestir excepto prendas de piel,MEDELLIN,ANTIOQUIA,CALLE 72 64 C 96 BODEGA,https://empresite.eleconomistaamerica.co/ZENSKA-JEANS-SAS.html,ZENSKA JEANS S A S,JEANS,(4)4413843
Confeccion de prendas de vestir excepto prendas de piel,MEDELLIN,ANTIOQUIA,,https://empresite.eleconomistaamerica.co/INTER-JEANS-LTDA.html,INTER JEANS LTDA,JEANS,(4)3111045
Confeccion de prendas de vestir excepto prendas de piel,MEDELLIN,ANTIOQUIA,CARRERA 34 18 AA 142,https://empresite.eleconomistaamerica.co/COMERCIALIZADORA-INTERNACIONAL-BTWO-JEANS-SA.html,COMERCIALIZADORA INTERNACIONAL BTWO JEANS S A,JEANS,(4)3136702
Confeccion de prendas de vestir excepto prendas de piel,MEDELLIN,ANTIOQUIA,CALLE 48 39 26,https://empresite.eleconomistaamerica.co/FEVER-JEANS-EU.html,FEVER JEANS S A S,JEANS,(4)2933182
Comercio al por mayor de prendas de vestir,MEDELLIN,ANTIOQUIA,CALLE 14 30 100 PISO 2,https://empresite.eleconomistaamerica.co/LINA-CANTILLO-JEANS-WEAR-LTDA.html,LINA CANTILLO JEANS WEAR LTDA,JEANS,(4)2667806
Confeccion de prendas de vestir excepto prendas de piel,DON MATIAS,ANTIOQUIA,CALLE 33 32 A 28,https://empresite.eleconomistaamerica.co/CONFECCIONES-OSMY-JEANS-SAS.html,CONFECCIONES OSMY JEANS S A S,JEANS,(4)8663468
Confeccion de prendas de vestir excepto prendas de piel,ITAGUI,ANTIOQUIA,CALLE 81 52 A 44 IN 4,https://empresite.eleconomistaamerica.co/FEROZ-JEANS-SAS.html,FEROZ JEANS S A S,JEANS,3117902635
Comercio al por mayor de prendas de vestir,ITAGUI,ANTIOQUIA,CARRERA 42 54 A 155,https://empresite.eleconomistaamerica.co/MAQUILA-JEANS-SA.html,MAQUILA JEANS S A,JEANS,(4)3771819
,ITAGUI,ANTIOQUIA,CARRERA 52 D 76 67 LC 201,https://empresite.eleconomistaamerica.co/SILVER-DIVA-JEANS-EU.html,SILVER DIVA JEANS E U,JEANS,
,ITAGUI,ANTIOQUIA,CARRERA 52 D 81 35 BG 204,https://empresite.eleconomistaamerica.co/GRUPO-AVALON-JEANS-SAS.html,GRUPO AVALON JEANS S A S,JEANS,
Confeccion de prendas de vestir excepto prendas de piel,MEDELLIN,ANTIOQUIA,CALLE 20 57 43,https://empresite.eleconomistaamerica.co/MAXXY-JEANS-SAS.html,MAXXY JEANS S A S,JEANS,(4)4890645
Confeccion de prendas de vestir excepto prendas de piel,MEDELLIN,ANTIOQUIA,CALLE 30 A 56 54,https://empresite.eleconomistaamerica.co/CAMINO-JEANS-LTDA.html,EL CAMINO DEL JEANS LTDA,JEANS,(4)2513537
