Actividad,Ciudad,Departamento,Direccion,Link,Nombre_Empresa,Tema_Busqueda,telefono
Procesamiento de datos alojamiento (hosting) y actividades relacionadas,MEDELLIN,ANTIOQUIA,CARRERA 35 A 15 B 35 OF 9513,http://empresite.eleconomistaamerica.co/BLOCKCHAIN-INVESTMENTS-GROUP-BIGSAS.html,BLOCKCHAIN INVESTMENTS GROUP B I G S A S,BIG-DATA,3106394676
Actividades de consultaria de gestion,,ANTIOQUIA,,http://empresite.eleconomistaamerica.co/MERAKI-DATA-SAS.html,MERAKI DATA S A S,BIG-DATA,3185273403
Procesamiento de datos alojamiento (hosting) y actividades relacionadas,MEDELLIN,ANTIOQUIA,CALLE 29 41 105 OF 1103,http://empresite.eleconomistaamerica.co/STRATEGIC-DATA-SAS.html,STRATEGIC DATA SAS,BIG-DATA,(4)3205313
Comercio al por mayor de otros tipos de maquinaria y equipo n c p,MEDELLIN,ANTIOQUIA,CARRERA 55 29 95,http://empresite.eleconomistaamerica.co/INFOTEL-DATA-SA.html,INFOTEL DATA S A,BIG-DATA,(4)2353313
Procesamiento de datos alojamiento (hosting) y actividades relacionadas,MEDELLIN,ANTIOQUIA,CARRERA 48 10 45,http://empresite.eleconomistaamerica.co/AGROUTSOURCING-DATA-CENTER-LTDA.html,AGROUTSOURCING DATA CENTER LTDA,BIG-DATA,(4)3228214
Edicion de programas de informatica (software),MEDELLIN,ANTIOQUIA,CARRERA 43 A 19 17 OF 9609,http://empresite.eleconomistaamerica.co/DIGITAL-DATA-SAS.html,DIGITAL DATA S A S,BIG-DATA,(4)3662874
Comercio al por menor de electrodomesticos y gasodomesticos de uso domestico muebles y equipos de iluminacion,BELLO,ANTIOQUIA,,http://empresite.eleconomistaamerica.co/TURBO-DATA-LTDA.html,TURBO DATA LTDA,BIG-DATA,
Instalaciones electricas,BELLO,ANTIOQUIA,DIAGONAL 58 45 102,http://empresite.eleconomistaamerica.co/LAB-DATACOM-MEDELLIN-LTDA.html,LAB DATACOM MEDELLIN LTDA,BIG-DATA,(4)4817251
Actividades de consultoria informatica y actividades de administracion de instalaciones informaticas,MEDELLIN,ANTIOQUIA,TRANSVERSAL 5 A 45 91,http://empresite.eleconomistaamerica.co/INTELLIGENT-WORLD-DATA-SOLUTIONS-SAS.html,INTELLIGENT WORLD DATA SOLUTIONS S A S,BIG-DATA,3127548145
Comercio al por menor realizado a traves de internet,MEDELLIN,ANTIOQUIA,CALLE 45 16 A 32,http://empresite.eleconomistaamerica.co/MACHINE-TRADING-SAS.html,MACHINE TRADING S A S,MACHINE-LEARNING,(4)2145274
Comercio al por mayor de maquinaria y equipo agropecuarios,MEDELLIN,ANTIOQUIA,CALLE 18 AA SUR 29 C 170,http://empresite.eleconomistaamerica.co/MACHINERY-IMPORT-SAS.html,MACHINERY IMPORT S A S,MACHINE-LEARNING,(4)3136197
Edicion de libros,MEDELLIN,ANTIOQUIA,CALLE 34 B 65 D 02 OF 201,http://empresite.eleconomistaamerica.co/LEARNING-PLUS-COLOMBIA-SAS.html,LEARNING PLUS COLOMBIA S A S,MACHINE-LEARNING,(4)5204796
